VaR,ES,Classes,Loss Mean
14.429344,2.111112,1,24176.27089
14.879551,2.112977,1,24176.27089
14.555154,2.111623,1,24176.27089
14.6711,2.11149,1,24176.27089
14.618421,2.109245,1,24176.27089
14.544911,2.112381,1,24176.27089
15.116864,2.113319,1,24176.27089
14.741601,2.113751,1,24176.27089
14.506271,2.111362,1,24176.27089
14.798493,2.111548,1,24176.27089
14.643718,2.113362,1,24176.27089
14.630901,2.112441,1,24176.27089
14.607458,2.110954,1,24176.27089
14.64496,2.11312,1,24176.27089
14.341669,2.108746,1,24176.27089
14.72411,2.11135,1,24176.27089
14.904581,2.113036,1,24176.27089
14.66856,2.11348,1,24176.27089
14.601181,2.108528,1,24176.27089
14.558697,2.114525,1,24176.27089
14.547474,2.112302,1,24176.27089
15.151422,2.114643,1,24176.27089
14.709435,2.111563,1,24176.27089
14.899076,2.112865,1,24176.27089
14.76668,2.11318,1,24176.27089
14.919815,2.114818,1,24176.27089
14.783623,2.115805,1,24176.27089
14.48004,2.111295,1,24176.27089
15.118325,2.112759,1,24176.27089
14.605527,2.111769,1,24176.27089
14.76802,2.110957,1,24176.27089
14.878625,2.111541,1,24176.27089
14.508475,2.112143,1,24176.27089
14.675349,2.113087,1,24176.27089
14.697458,2.110702,1,24176.27089
14.83455,2.11375,1,24176.27089
14.882681,2.113211,1,24176.27089
14.361412,2.110635,1,24176.27089
14.603562,2.112689,1,24176.27089
14.467658,2.111022,1,24176.27089
14.937697,2.112986,1,24176.27089
14.78886,2.112662,1,24176.27089
14.5846,2.11024,1,24176.27089
14.643428,2.113559,1,24176.27089
14.570022,2.113224,1,24176.27089
14.82402,2.113185,1,24176.27089
14.845381,2.113227,1,24176.27089
14.980864,2.115686,1,24176.27089
14.62917,2.111787,1,24176.27089
14.811066,2.112685,1,24176.27089
14.618869,2.112112,1,24176.27089
14.832776,2.113919,1,24176.27089
14.758673,2.113311,1,24176.27089
14.753817,2.111981,1,24176.27089
14.416378,2.112442,1,24176.27089
14.584848,2.110796,1,24176.27089
14.63977,2.111,1,24176.27089
14.733995,2.110588,1,24176.27089
15.07941,2.1155,1,24176.27089
14.949411,2.113709,1,24176.27089
14.908165,2.114798,1,24176.27089
14.907694,2.113722,1,24176.27089
14.774734,2.112365,1,24176.27089
14.706516,2.112739,1,24176.27089
14.349112,2.110961,1,24176.27089
14.925453,2.112602,1,24176.27089
14.920475,2.112604,1,24176.27089
14.547405,2.112175,1,24176.27089
14.490608,2.109744,1,24176.27089
14.522966,2.113767,1,24176.27089
14.39097,2.111921,1,24176.27089
14.763217,2.110509,1,24176.27089
14.57492,2.111889,1,24176.27089
14.608137,2.112761,1,24176.27089
15.064695,2.114035,1,24176.27089
14.881092,2.112589,1,24176.27089
14.805229,2.113175,1,24176.27089
14.956925,2.112797,1,24176.27089
14.974449,2.112339,1,24176.27089
14.610045,2.111457,1,24176.27089
